
(79074380,40571275,-40.83,'FL','Ft','Beal Pkwy @ Mary Esther Cutoff_575 North Beal Parkway_Ft Walton Beach Florida 32548_850-863-7827',30.428072,-86.637752),
(66086354,88492326,-56.68,'FL','Land','SR 54 & Collier Pkwy_2021 Collier Pkwy_Land O' Lakes Florida 34639_813-948-7399',28.1861092,-82.43786977),
(34412841,09818833,-48.30,'FL','New','Little Rd & SR 54_3244 Little Rd_New Port Richey Florida 34655_727-375-0163',28.20687298,-82.66598443),
(63929028,34114663,-31.90,'FL','North','Keystone Plaza_13503 Biscayne Blvd_North Miami Beach Florida 33181_305-947-7445',25.900014,-80.160313),
(95180680,41374947,-80.52,'FL','Palm','Downtown @ The Gardens_11701 Lake Victoria Gardens Dr_Palm Beach Gardens Florida 33410_561-626-2267',26.8448,-80.0924),
(41491841,03254772,-74.38,'FL','Palm','PGA & US Hwy 1_11600 US Hwy 1_Palm Beach Gardens Florida 33410_561-625-0664',26.845587,-80.060726),
(23150068,98088096,-45.94,'FL','Palm','Gardens Mall_3103 PGA Blvd._Palm Beach Gardens Florida 33410_561-626-1808',26.8449435,-80.08194628),
(62437925,92348795,-54.63,'FL','Palm','Northlake Blvd & I-95_3866 Northlake Blvd_Palm Beach Gardens Florida 33410_561-355-8121',26.80870252,-80.09974576),
(18988595,85727994,-32.59,'FL','Palm','PGA & Turnpike_6231 PGA Blvd_Palm Beach Gardens Florida 33418_561-625-9401',26.83919078,-80.13189546),
(59170648,97730305,-68.90,'FL','Royal','Southern Blvd. & 441_561 N. State Rd. (US 441)_Royal Palm Beach Florida 33411_561-514-1680',26.7111575,-80.211331),
(78316439,91730678,-58.05,'FL','West','PBI Airport_Belvedere Rd._West Palm Beach Florida 33406_561-683-0834',26.69160747,-80.09357809),
(97128665,43134881,-77.08,'FL','West','Clematis St._226 Clematis St._West Palm Beach Florida 33401_(561) 655-9933',26.71325832,-80.05097728),
(53531559,04262937,-49.44,'FL','West','Palladium at City Place_600 S. Rosemary Ave._West Palm Beach Florida 33401_561-366-8353',26.71800615,-80.05683851),
(90813823,23495166,-49.91,'IA','West','University & 28th_2800 University Avenue_West Des Moines Iowa 50265_515/223-4200',41.60035656,-93.7347636),
(86276350,93571045,-67.14,'ID','Coeur','Riverstone Center_2360 Old Mill Road_Coeur D' Alene Idaho 83814_208-664-4835',47.6582,-116.7667),
(41528568,52978487,-54.72,'ID','Coeur','Ironwood_212 Ironwood Dr_Coeur d Alene Idaho 83814_(208) 765-4684',47.694969,-116.787517),
(66707300,06592770,-64.16,'IL','Elk','Elk Grove Village_934 Busse Highway_Elk Grove Village Illinois 600072430_847-228-5212',42.01272282,-87.9595281),
(57944876,26448852,-34.26,'MD','Andrews','Andrews Air Force Base_1684 Starkey Ave_Andrews Air Force Base Maryland 20762',38.813901,-76.883599),
(87900659,11089255,-70.95,'MI','East','Wealthy Street_2172 Wealthy Street_East Grand Rapids Michigan 49506_616-451-0871',42.95066824,-85.61481388),
(82380202,84926123,-65.00,'MN','St.','St. Louis Park-Minnetonka & Hwy 7_4201 Minnetonka Blvd._St. Louis Park Minnesota 55416_952-922-2084',44.9485,-93.332713),
(45493622,30695408,-39.08,'MN','St.','St. Louis Park - Excelsior Commons_3850 Grand Way_St. Louis Park Minnesota 55416_952/920-8531',44.9439,-93.335),
(32660867,81821832,-44.04,'MN','West','West St. Paul-Robert & Thompson_1470 Roberts St. South_West St. Paul Minnesota 55118_651-450-4494',44.90223,-93.08041),
(14035643,59910757,-59.55,'MO','Town','Mason Woods_13448 Clayton Road_Town & Country Missouri 63131_314-275-8784',38.62736567,-90.48176867),
(49052880,18523354,-77.03,'NJ','West','West New York_55-1 Riverwalk Place_West New York New Jersey 07093_201 867-0925',40.7885,-74.0115),
(00661446,14485631,-77.91,'NV','N.','Centennial & Simmons N. Las Vegas_6360 N. Simmons Street_N. Las Vegas Nevada 89031_702-658-8939',36.2765,-115.1693),
(50915634,89807516,-77.27,'NV','North','Lake Mead & McDaniel N LV_2001 E. Lake Mead Blvd_North Las Vegas Nevada 890307114_702-399-0654',36.1958,-115.120691),
(58591196,56798359,-54.44,'NV','North','Cheyenne & MLK North Las Vegas_1380 W. Cheyenne_North Las Vegas Nevada 89032_702-395-0591',36.217728,-115.159395),
(90672304,44578258,-36.11,'NV','North','Ann & Camino Al Norte_5515 Camino Al Norte_North Las Vegas Nevada 890310804_702-639-6305',36.26009119,-115.1549813),
(11739932,24772487,-32.19,'NV','North','Craig & Losee North Las Vegas_2517 E. Craig Rd_North Las Vegas Nevada 890303386_702-399-2233',36.2399,-115.116538),
(56460163,41902224,-35.27,'NV','North','North Mesa - Las Vegas_1513 West Craig Rd_North Las Vegas Nevada 89032_702-633-6764',36.23937181,-115.162153),
(40971863,02517603,-76.27,'NY','New','New Hyde Park_1596 Union Turnpike_New Hyde Park New York 11040_718-831-1323',40.75435322,-73.69080178),
(77734519,43774833,-67.56,'NY','New','New Hyde Park Village_1441 Jericho Turnpike_New Hyde Park New York 110404614_516-352-1795',40.73337948,-73.68098415),
(37253692,86037644,-58.71,'AK','Eagle','Coronado Rd- Eagle River_16707 Coronado Road_Eagle River Alaska 99577_907-696-6055',61.3252,-149.571083),
(06867130,33559281,-84.57,'AL','Mountain','Cahaba & Hollywood_2738 Cahabe Rd_Mountain Brook Alabama 25223_205-868-9130',33.484513,-86.773962),
(62665268,02340884,-38.90,'AL','Spanish','I-10 & Hwy 181_30350 State Hwy 181_Spanish Fort Alabama 36527_251-626-3180',30.669385,-87.852027),
(19815842,83099446,-78.70,'AL','Vestavia','Montgomery Hwy & Canyon Dr_700 Montgomery Hwy_Vestavia Hills Alabama 35216_205-978-2892',33.421892,-86.797593),
(32231209,22134712,-57.54,'AL','Vestavia','Cahaba Heights & Dolly Ridge Rd_3130 Cahaba Heights Rd_Vestavia Hills Alabama 35243_205-298-7946',33.455541,-86.735925),
(59331394,06087321,-45.81,'AR','Fort','I-540 & Rogers Ave_6203 Rogers Ave_Fort Smith Arkansas 72903_479-478-9982',35.3587282,-94.36294976),
(82956743,16664895,-72.72,'AR','Hot','Central Ave & Buena Vista_3948 Central Ave_Hot Springs Arkansas 71913_501-525-5023',34.45764525,-93.06209925),
(48467250,50017959,-78.32,'AR','Little','LIT - Little Rock Simply Books_1 Airport Rd_Little Rock Arkansas 71202',34.72769385,-92.21905583),
(19843330,52138846,-56.92,'AR','Little','Hwy 10 & Sam Peck_12901 Cantrell_Little Rock Arkansas 72227_501-954-7596',34.798,-92.4149),
(48977517,31825545,-58.39,'AR','Little','Rodney Parham & Treasure Hill_9401 N. Rodney Parham Rd_Little Rock Arkansas 72227_501-223-9177',34.75911,-92.379005),
(56937954,17008458,-78.85,'AR','Little','Cantrell & Mississippi_7525 Cantrell Rd_Little Rock Arkansas 72207_501-603-0094',34.77140489,-92.35743226),
(66834471,40965133,-71.34,'AR','Little','Chenal & Financial Center_11401 Financial Centre Parkway Suite D_Little Rock Arkansas 72211_501-219-2337',34.74810967,-92.40416376),
(32949549,35724534,-51.21,'AR','Little','Kavanaugh & Pierce_5719 Kavanaugh Street_Little Rock Arkansas 72207_501-603-9230',34.770222,-92.33723),
(41590064,19807151,-47.33,'AR','Little','University & W. Markham_201 N University Ave_Little Rock Arkansas 72205_501-664-4865',34.753007,-92.341099),
(76238650,81966328,-68.15,'AR','North','Hwy 67 & McCain_4120 E. McCain_North Little Rock Arkansas 72116_501-955-3450',34.789467,-92.22356),
(85967196,84439490,-55.66,'AR','Van','Hwy 59 & Rena_2008 FAYETTEVILLE RD_Van Buren Arkansas 72956_479-471-8187',35.466507,-94.356399),
(46068823,47234292,-78.76,'AZ','Apache','Apache Trail & Delaware Apache Jun_2580 W. Apache Trail_Apache Junction Arizona 852205205_480-982-2346',33.415339,-111.57396),
(43591679,26202952,-79.61,'AZ','Camp','I-17 & Hwy 260 Camp Verde_1620 W. Highway 260_Camp Verde Arizona 863225203_928-567-0274',34.5658,-111.8655),
(83779019,16959667,-48.48,'AZ','Fountain','Fountain Hills_16425 E. Palisades Blvd._Fountain Hills Arizona 852683708_480-816-6969',33.61019636,-111.7249286),
(48785164,30258462,-67.47,'AZ','Fountain','Shea & Technology Fountain Hills_16815 E. Shea Blvd._Fountain Hills Arizona 852686667_480-837-1486',33.575834,-111.718697),
(17940484,94166124,-39.96,'AZ','Lake','Safeway - Lake Havasu City 216_1650 McCulloch_Lake Havasu City Arizona 86403_520-855-7760',34.478282,-114.337554),
(32026499,56155003,-63.26,'AZ','Oro','1st & Oracle Oro Valley_10785 N. Oracle Road_Oro Valley Arizona 85737_520-229-1979',32.41179186,-110.939853),
(51920575,39883066,-31.93,'AZ','Sun','Safeway - Sun City West 2054_13503 Camino Del Sol_Sun City West Arizona 85375',33.656757,-112.351061),
(83663373,40707496,-71.77,'AZ','Sun','99th Ave. & Bell Sun City_10001 W. Bell Road_Sun City Arizona 853511283_623-583-1459',33.63787912,-112.2760361),
(01711980,72305800,-60.32,'CA','Aliso','Aliso Viejo_27072 La Paz Road_Aliso Viejo California 92653_949-362-1415',33.575604,-117.703145),
(78694502,96721647,-37.45,'CA','American','Napa Junction & Hwy 29 - American C_6050 Main St_American Canyon California 94503_7075572705',38.171,-122.24529),
(06976575,52245843,-82.29,'CA','American','American Canyon & Highway 29_101 W American Canyon Rd_American Canyon California 94503_707-649-2067',38.165852,-122.26392),
(48409551,53287325,-48.81,'CA','Anaheim','Santa Ana Canyon & Imperial Hwy An_5741 E. Santa Ana Canyon Road_Anaheim Hills California 928073229_714-685-0871',33.851543,-117.788732),
(09624266,72872112,-39.25,'CA','Anaheim','Anaheim Hills_5655 E. La Palma_Anaheim Hills California 92807_(714) 970-5790',33.85987581,-117.791645),
(35845168,25038942,-39.00,'CA','Anaheim','Sycamore Canyon Plaza - Anaheim Hil_721 South Weir Canyon Road_Anaheim Hills California 92808_(714) 998-2622',33.86345977,-117.7395659),
(77472935,93078390,-56.34,'CA','Anaheim','Weir Canyon & Monte Vista_8295 E. Monte Vista Road_Anaheim Hills California 928081249_714-282-0231',33.863973,-117.744356),
(42289841,61102684,-64.25,'CA','Angels','Hwy 4 & Hwy 49 - Angels Camp_27 N. Main Street_Angels Camp California 95221_209-736-1297',38.07990289,-120.5551201),
(95757235,54018212,-73.77,'CA','Apple','Rancheras & Hwy 18 Apple Valley_20226 US Highway 18_Apple Valley California 923072938_760-242-5633',34.525615,-117.21929),
(05412814,92967887,-66.01,'CA','Arroyo','Grand & Courtland Arroyo Grande_1421 Grand Ave_Arroyo Grande California 93420_805-489-8334',35.12077807,-120.6056362),
(48672658,06237169,-53.72,'CA','Arroyo','West Branch & Rancho Parkway_924 West Branch_Arroyo Grande California 93420_805-473-9492',35.12425004,-120.5916373),
(74387087,86662032,-41.77,'CA','Baldwin','Puente & Francisquito Baldwin Park_1620 Puente Avenue_Baldwin Park California 917065952_626-338-5018',34.06453371,-117.9678991),
(02696115,06401431,-59.78,'CA','Baldwin','Puente & The 10 Fwy Baldwin Park_14540 Baldwin Park Towne Center Dr._Baldwin Park California 917065500_626-337-9935',34.072124,-117.959361),
(27794802,53342201,-58.92,'CA','Bell','Eastern & Florence (UCO)_7000-F Eastern Avenue_Bell Gardens California 90201_323-560-6355',33.96915012,-118.1644993),
(30067325,70664744,-38.91,'CA','Beverly','Beverly Drive_428 North Beverly Drive_Beverly Hills California 90210_(310) 271-1692',34.07037888,-118.4024714),
(99372935,49922859,-61.91,'CA','Beverly','La Cienega & Gregory Way Beverly H_257 S. La Cienega Blvd._Beverly Hills California 90211_310-659-9562',34.06375507,-118.3762488),
(04372435,66194133,-55.02,'CA','Beverly','Beverly Hills Triangle_9844 Wilshire Blvd._Beverly Hills California 90210_(310) 552-3133',34.066963,-118.409348),
(08554538,60185705,-76.93,'CA','Beverly','Olympic/Doheny_9049 Olympic Blvd._Beverly Hills California 90211_(310) 275-0253',34.05926463,-118.3890518),
(39370258,82888662,-54.86,'CA','Beverly','South Beverly Drive_202 South Beverly Drive_Beverly Hills California 90212_(310) 271-2133',34.06488753,-118.3990671),
(41984640,40645631,-53.39,'CA','Big','Vons-Big Bear Lake 2374_42170 Big Bear Blvd_Big Bear Lake California 92532',34.2500314,-116.8834427),
(30981194,71520467,-70.11,'CA','Buena','Lincoln & Valley View Buena Park_5897 Lincoln Ave._Buena Park California 906203461_714-484-0634',33.8318,-118.030457),
(78916760,62240582,-57.28,'CA','Buena','La Palma & Dale Buena Park_8231 La Palma Avenue_Buena Park California 906203205_714-523-7915',33.84682485,-117.9902885),
(99628034,30975202,-30.42,'CA','Buena','Movieland Wax Museum - Buena Park_7711 Beach Blvd._Buena Park California 90620_(714) 522-2599',33.85122007,-117.9979246),
(14233609,49379338,-79.76,'CA','Cameron','Coach & Strolling Hills -Cameron Pk_3317 Coach Lane_Cameron Park California 95682_530-677-0851',38.65812621,-120.9744664),
(48437070,31264652,-30.25,'CA','Canoga','Canoga & Sherman Canoga Park_21355 Sherman Way_Canoga Park California 913031547_818-887-5152',34.20104529,-118.5971781),
(26145820,03019957,-47.15,'CA','Canoga','Topanga Plaza_6600 Topanga Canyon Blvd._Canoga Park California 91303_(818) 999-2653',34.19045508,-118.6058524),
(83813568,54326592,-80.63,'CA','Castro','Castro Valley - 20663 Rustic Dr._20663 Rustic Drive_Castro Valley California 945465607_(510) 733-0387',37.69598137,-122.0778835),
(53034262,51335804,-34.83,'CA','Castro','Castro Valley & Lake Chabot - CV_2720 Castro Valley Blvd_Castro Valley California 94546_510-888-0420',37.69436944,-122.0862027),
(38870948,70152758,-57.32,'CA','Castro','Grove & Center - Castro Valley_22095 Grove Way_Castro Valley California 94552_510-886-9010',37.69292069,-122.057534),
(13719175,18505452,-72.05,'CA','Cathedral','Date Palm Centre - Cathedral City_69040 Ramon Road_Cathedral City California 922343341_760-324-5928',33.816137,-116.457213),
(34025078,32599790,-65.40,'CA','Cathedral','Date Palm & Dinah Shore Cathedral_34041 Date Palm Drive_Cathedral City California 922346860_760-202-7228',33.801132,-116.458112),
(52896831,21591962,-47.41,'CA','Cathedral','Hwy 111 & Canyon Plaza Cathedral C_67760 E. Palm Canyon Dr._Cathedral City California 92234_760-770-3390',33.78825256,-116.4822647),
(51305635,25768066,-44.54,'CA','Cathedral','E. Palm Canyon & Monty Hall_68-718 E. Palm Canyon Drive_Cathedral City California 922341308_760-321-2920',33.77876201,-116.461378),
(04253048,39442875,-84.13,'CA','Century','2049 Century Park East_Century City California 90067_(310) 286-3023',34.05939741,-118.412804),
(23830561,78364598,-46.30,'CA','Century','1999 Ave. of the Stars_1999 Avenue of the Stars_Century City California 90067_(310) 557-0785',34.05863243,-118.4160278),
(71335917,77925377,-34.59,'CA','Chino','Butterfield & Pine Chino Hills_5751 Pine Ave._Chino Hills California 917096503_909-606-4898',33.9469,-117.6822),
(97593576,10932909,-49.30,'CA','Chino','Grand & Peyton - Chino Hills_3330 Grand Ave._Chino Hills California 91709_909-591-5804',34.00239607,-117.7325035),
(49274348,45160705,-57.48,'CA','Chino','Chino Hills Pkwy & Pipeline Chino_4200 Chino Hills Parkway_Chino Hills California 91709_909-606-0523',33.9827,-117.713199),
(71906166,73063252,-83.38,'CA','Chula','4th & C Chula Vista_20 3rd Avenue_Chula Vista California 919101712_619-422-5632',32.65056844,-117.0866681),
(47407930,02813175,-54.29,'CA','Chula','Broadway & H St. Chula Vista_595 H Street_Chula Vista California 919104330_619-585-8872',32.63102044,-117.0892089),
(09984070,31878549,-80.18,'CA','Chula','3rd & H Chula Vista_303-7  H Street_Chula Vista California 91910_619-476-0741',32.6343604,-117.0772425),
(42057462,54355109,-50.08,'CA','Chula','Broadway & Oxford Chula Vista_1208 Broadway_Chula Vista California 919112911_619-425-0467',32.6065547,-117.0800565),
(38849257,08462195,-65.28,'CA','Chula','Bonita Point Plaza_1467 East 'H' Street_Chula Vista California 91913_(619) 656-9866',32.64471155,-116.9988592),
(64172486,71957976,-58.78,'CA','Chula','Chula Vista Center Chula Vista_555 Broadway_Chula Vista California 91910_619-409-1848',32.62903627,-117.0887855),
(15770346,17645423,-58.19,'CA','Chula','Otay RanchTown Center_2015 Birch Road_Chula Vista California 919152001_619-656-8316',32.61750349,-116.984024),
(35104723,84792931,-60.55,'CA','Chula','Eastlake Pkwy & Otay Lakes Chula V_2295 Otay Lakes Rd._Chula Vista California 919151001_619-216-3007',32.64786027,-116.965924),
(59622292,19446584,-82.05,'CA','Chula','Medical Center & E. Palomar Chula_605 E. Palomar Street_Chula Vista California 919112623_619-482-5121',32.61465531,-117.0336522),
(45880778,76583020,-41.28,'CA','Chula','Telegraph Cany & I-805 Chula Vista_519 Telegraph Canyon Road_Chula Vista California 919106436_619-482-9415',32.62832251,-117.0400589),
(70665989,11095374,-67.60,'CA','Citrus','Greenback & BirdcageCitrus Heights_7801 Greenback Lane_Citrus Heights California 95610_916-721-4202',38.67841529,-121.2762242),
(44621898,24902656,-59.12,'CA','Citrus','San Juan & Greenback - Sacramento_7301 Greenback Lane_Citrus Heights California 95621_(916) 727-1495',38.67815574,-121.2949389),
(52268067,93504273,-60.46,'CA','Citrus','Birdcage Walk - Citrus Heights_6109 Sunrise Boulevard_Citrus Heights California 95610_(916) 728-1587',38.67586611,-121.2716564),
(68603452,36120523,-34.59,'CA','Corte','Corte Madera_1732A Redwood Hwy_Corte Madera California 94925_(415) 927-3343',37.931367,-122.515108),
(95906474,16089625,-60.72,'CA','Costa','17th & Newport Blvd. - Costa Mesa_1696 Newport Blvd._Costa Mesa California 92627_(949) 631-2187',33.63715512,-117.9211533),
(35699602,59943040,-83.28,'CA','Costa','Bristol & I-405 Costa Mesa_3333 Bristol Street_Costa Mesa California 92626_714-545-8306',33.6899798,-117.8854587),
(30698101,74322434,-83.37,'CA','Costa','Harbor & Baker Costa Mesa_3030 Harbor Blvd._Costa Mesa California 92626_714-557-9964',33.68191676,-117.9193092),
(33556671,31189785,-61.10,'CA','Costa','Harbor & Wilson Costa Mesa_2300 Harbor Blvd._Costa Mesa California 926266204_949-574-1827',33.65754664,-117.9190769),
(84657996,83410206,-71.81,'CA','Costa','Anton & Sakioka Costa Mesa_545 Anton Blvd_Costa Mesa California 92626_714-557-4377',33.69003102,-117.8764702),
(06926798,10711770,-75.38,'CA','Costa','Newport & Del Mar Costa Mesa_2590 Newport Blvd Suite 'A'_Costa Mesa California 926275179_949-642-3667',33.662671,-117.897256),
(89413497,72246560,-73.01,'CA','Costa','Harbor & Adams - Costa Mesa_2701 Harbor Blvd_Costa Mesa California 92626_714-434-8478',33.67040789,-117.9191452),
(57261131,72334446,-84.81,'CA','Costa','Metro Point_901 South Coast Drive_Costa Mesa California 92626_(714) 429-1782',33.6902563,-117.8938476),
(80615964,84719631,-73.98,'CA','Culver','Washington & Overland - Culver City_10705 W. Washington Blvd._Culver City California 90232_(310) 202-8984',34.01675995,-118.4056869),
(65540760,99157226,-31.85,'CA','Culver','Washington & Culver_9718 Washington Blvd._Culver City California 902322722_310-204-1075',34.02201,-118.397034),
(05451940,08756582,-76.73,'CA','Daly','John Daly & Highway 280 - Daly City_2001 Junipero Serra Blvd_Daly City California 94014_650-758-2660',37.70161969,-122.4708926),
(11805461,94697588,-69.94,'CA','Daly','Gellert & Serramonte - Daly City_321 Gellert Blvd_Daly City California 94015_(650) 756-4116',37.6680254,-122.4688025),
(66823657,08132449,-75.78,'CA','Daly','Serramonte Center - Daly City_49 Serramonte Center_Daly City California 94015_650-997-4556',37.67410615,-122.4703057),
(86394728,77829585,-52.42,'CA','Daly','Mission St.@ Gambetta - Daly City_6873 Mission Street_Daly City California 940142558_(650) 757-5274',37.6979,-122.4641),
(34969713,80846866,-32.84,'CA','Dana','Golden Lantern & Camino de Avion D_32515 Golden Lantern Street_Dana Point California 92629_949-487-7043',33.490748,-117.697893),
(27015960,64626370,-84.25,'CA','Dana','Ritz Carlton Dr. & PCH - Dana Point_2 Ritz Carlton Drive_Dana Point California 926294204_949-248-5231',33.4765,-117.7189),
(47450361,62818875,-80.91,'CA','Dana','Del Prado & Amber Lantern Dana Pt_24502 Del Prado_Dana Point California 92629_949-443-1242',33.46552612,-117.7020682),
(54343921,52673620,-60.82,'CA','Dana','PCH & Crown Valley Dana Point_32880 Pacific Coast Highway_Dana Point California 926293422_949-489-5571',33.48614646,-117.7263973),
(20154581,64850465,-83.09,'CA','Del','Del Mar_1435 Camino Del Mar_Del Mar California 92014_(858) 793-4453',32.95894825,-117.2649804),
(17108518,24525831,-58.26,'CA','Diamond','Diamond Bar & Grand_1194 Grand Avenue_Diamond Bar California 91765_909-860-7030',34.00107051,-117.8111435),
(25857531,86647084,-42.52,'CA','El','Bradley & Magnolia El Cajon_1591 N. Magnolia Ave_El Cajon California 920201225_619-258-8429',32.82041817,-116.9623177),
(72203481,73340452,-71.53,'CA','El','Chase & Avocado El Cajon_450 E. Chase Avenue_El Cajon California 920206409_619-444-5107',32.78045815,-116.9571131),
(25440186,34718125,-57.91,'CA','El','Broadway & Mollison El Cajon_903 Broadway_El Cajon California 92021_619-590-0497',32.80769011,-116.9509113),
(70601302,45302079,-44.01,'CA','El','Fletcher Hills_2740 Fletcher Parkway_El Cajon California 92020_(619) 469-6106',32.79961138,-117.0023106),
(20675004,58955802,-76.60,'CA','El','Main & Magnolia El Cajon_124 W. Main Street_El Cajon California 920203316_619-444-7415',32.79497913,-116.9625226),
(88240519,08551420,-43.70,'CA','El','Rancho San Diego_2512 Jamacha Road_El Cajon California 92019_(619) 660-6056',32.74473626,-116.9291913),
(44858439,43710274,-70.36,'CA','El','Jamacha & Washington El Caj_745 Jamacha Road_El Cajon California 920193202_619-590-1352',32.78654043,-116.9277843),
