LATITUDE,LONGITUDE,MUNICIPIO,UF,
(-9.53,-36.98,"MAJOR ISIDORO","AL"),
(-9.44,-36.38,"MAR VERMELHO","AL"),
(-9.01,-35.22,"MARAGOGI","AL"),
(-9.23,-37.35,"MARAVILHA","AL"),
(-9.71,-35.89,"MARECHAL DEODORO","AL"),
(-9.57,-36.3,"MARIBONDO","AL"),
(-9.11,-37.73,"MATA GRANDE","AL"),
(-9.15,-35.53,"MATRIZ DE CAMARAGIBE","AL"),
(-9.38,-35.84,"MESSIAS","AL"),
(-9.3,-36.86,"MINADOR DO NEGRAO","AL"),
(-9.6,-37.24,"MONTEIROPOLIS","AL"),
(-9.3,-35.94,"MURICI","AL"),
(-8.91,-35.64,"NOVO LINO","AL"),
(-9.53,-37.29,"OLHO DAGUA DAS FLORES","AL"),
(-9.5,-37.83,"OLHO DAGUA DO CASADO","AL"),
(-10.05,-36.81,"OLHO DAGUA GRANDE","AL"),
(-9.51,-37.19,"OLIVENCA","AL"),
(-9.16,-37.35,"OURO BRANCO","AL"),
(-9.67,-37.32,"PALESTINA","AL"),
(-9.4,-36.62,"PALMEIRA DOS INDIOS","AL"),
(-9.74,-37.43,"PAO DE ACUCAR","AL"),
(-9.25,-38,"PARICONHA","AL"),
(-9.46,-35.55,"PARIPUEIRA","AL"),
(-9.23,-35.49,"PASSO DE CAMARAGIBE","AL"),
(-9.36,-36.37,"PAULO JACINTO","AL"),
(-10.29,-36.58,"PENEDO","AL"),
(-10.4,-36.43,"PIACABUCU","AL"),
(-9.59,-35.95,"PILAR","AL"),
(-9.47,-36.29,"PINDOBA","AL"),
(-9.62,-37.75,"PIRANHAS","AL"),
(-9.31,-37.28,"POCO DAS TRINCHEIRAS","AL"),
(-9.04,-35.39,"PORTO CALVO","AL"),
(-9.15,-35.29,"PORTO DE PEDRAS","AL"),
(-10.18,-36.84,"PORTO REAL DO COLEGIO","AL"),
(-9.31,-36.47,"QUEBRANGULO","AL"),
(-9.47,-35.85,"RIO LARGO","AL"),
(-9.83,-35.97,"ROTEIRO","AL"),
(-9.6,-35.82,"SANTA LUZIA DO NORTE","AL"),
(-9.37,-37.24,"SANTANA DO IPANEMA","AL"),
(-9.16,-36.22,"SANTANA DO MUNDAU","AL"),
(-10.12,-36.9,"SAO BRAS","AL"),
(-9.01,-36.05,"SAO JOSE DA LAJE","AL"),
(-9.55,-37.38,"SAO JOSE DA TAPERA","AL"),
(-9.31,-35.56,"SAO LUIS DO QUITUNDE","AL"),
(-9.78,-36.09,"SAO MIGUEL DOS CAMPOS","AL"),
(-9.26,-35.37,"SAO MIGUEL DOS MILAGRES","AL"),
(-9.93,-36.55,"SAO SEBASTIAO","AL"),
(-9.56,-35.82,"SATUBA","AL"),
(-9.35,-37.5,"SENADOR RUI PALMEIRA","AL"),
(-9.53,-36.43,"TANQUE DARCA","AL"),
(-9.64,-36.49,"TAQUARANA","AL"),
(-9.9,-36.35,"TEOTONIO VILELA","AL"),
(-9.97,-37,"TRAIPU","AL"),
(-9.16,-36.03,"UNIAO DOS PALMARES","AL"),
(-9.37,-36.24,"VICOSA","AL"),
(-3.22,-64.8,"ALVARAES","AM"),
(-3.36,-68.19,"AMATURA","AM"),
(-3.58,-61.4,"ANAMA","AM"),
(-3.77,-61.64,"ANORI","AM"),
(-7.19,-59.89,"APUI","AM"),
(-4.37,-70.19,"ATALAIA DO NORTE","AM"),
(-3.58,-59.13,"AUTAZES","AM"),
(-0.97,-62.92,"BARCELOS","AM"),
(-2.79,-57.07,"BARREIRINHA","AM"),
(-4.38,-70.03,"BENJAMIN CONSTANT","AM"),
(-3.89,-61.37,"BERURI","AM"),
(-2.97,-57.59,"BOA VISTA DO RAMOS","AM"),
(-8.75,-67.39,"BOCA DO ACRE","AM"),
(-4.38,-59.59,"BORBA","AM"),
(-3.32,-61.2,"CAAPIRANGA","AM"),
(-6.53,-64.38,"CANUTAMA","AM"),
(-4.88,-66.89,"CARAUARI","AM"),
(-3.76,-60.36,"CAREIRO","AM"),
(-3.22,-59.82,"CAREIRO DA VARZEA","AM"),
(-4.08,-63.14,"COARI","AM"),
(-3.83,-62.05,"CODAJAS","AM"),
(-6.66,-69.87,"EIRUNEPE","AM"),
(-7.43,-70.02,"ENVIRA","AM"),
(-2.51,-66.09,"FONTE BOA","AM"),
(-7.54,-72.58,"GUAJARA","AM"),
(-7.5,-63.02,"HUMAITA","AM"),
(-7.05,-71.69,"IPIXUNA","AM"),
(-3.28,-60.18,"IRANDUBA","AM"),
(-3.14,-58.44,"ITACOATIARA","AM"),
(-6.42,-68.25,"ITAMARATI","AM"),
(-2.74,-58.02,"ITAPIRANGA","AM"),
(-1.82,-66.59,"JAPURA","AM"),
(-3.48,-66.06,"JURUA","AM"),
(-2.74,-66.76,"JUTAI","AM"),
(-7.25,-64.79,"LABREA","AM"),
(-3.3,-60.62,"MANACAPURU","AM"),
(-3.42,-60.45,"MANAQUIRI","AM"),
(-3.1,-60.02,"MANAUS","AM"),
(-5.8,-61.3,"MANICORE","AM"),
(-1.85,-65.58,"MARAA","AM"),
(-3.38,-57.71,"MAUES","AM"),
(-2.18,-56.71,"NHAMUNDA","AM"),
(-3.88,-59.09,"NOVA OLINDA DO NORTE","AM"),
(-2.62,-60.94,"NOVO AIRAO","AM"),
(-5.12,-60.38,"NOVO ARIPUANA","AM"),
(-2.62,-56.73,"PARINTINS","AM"),
(-7.71,-66.97,"PAUINI","AM"),
(-2.03,-60.02,"PRESIDENTE FIGUEIREDO","AM"),
(-2.69,-59.7,"RIO PRETO DA EVA","AM"),
(-0.41,-65.01,"SANTA ISABEL DO RIO NEGRO","AM"),
(-3.1,-67.94,"SANTO ANTONIO DO ICA","AM"),
(-0.13,-67.08,"SAO GABRIEL DA CACHOEIRA","AM"),
(-3.37,-68.87,"SAO PAULO DE OLIVENCA","AM"),
(-2.57,-57.87,"SAO SEBASTIAO DO UATUMA","AM"),
(-2.83,-58.2,"SILVES","AM"),
(-4.25,-69.93,"TABATINGA","AM"),
(-5.62,-63.18,"TAPAUA","AM"),
(-3.35,-64.71,"TEFE","AM"),
(-2.87,-67.8,"TONANTINS","AM"),
(-2.99,-65.1,"UARINI","AM"),
(-2.53,-57.76,"URUCARA","AM"),
(-3.13,-58.15,"URUCURITUBA","AM"),
(2.05,-50.79,"AMAPA","AP"),
(2.49,-50.94,"CALCOENE","AP"),
(0.98,-50.8,"CUTIAS","AP"),
(0.85,-51.18,"FERREIRA GOMES","AP"),
(0.71,-50.8,"ITAUBAL","AP"),
(-1.12,-52,"LARANJAL DO JARI","AP"),
(0.03,-51.06,"MACAPA","AP"),
(-0.11,-51.28,"MAZAGAO","AP"),
(3.84,-51.83,"OIAPOQUE","AP"),
(0.77,-51.94,"PEDRA BRANCA DO AMAPARI","AP"),
(0.71,-51.41,"PORTO GRANDE","AP"),
(1.74,-50.79,"PRACUUBA","AP"),
(-0.05,-51.18,"SANTANA","AP"),
(0.89,-52,"SERRA DO NAVIO","AP"),
(1.5,-50.91,"TARTARUGALZINHO","AP"),
(-0.8,-52.45,"VITORIA DO JARI","AP"),
(-13.25,-41.66,"ABAIRA","BA"),
(-8.72,-39.11,"ABARE","BA"),
(-11.66,-38.01,"ACAJUTIBA","BA"),
(-10.53,-38.1,"ADUSTINA","BA"),
(-11.86,-38.76,"AGUA FRIA","BA"),
(-14.12,-39.88,"AIQUARA","BA"),
(-12.13,-38.41,"ALAGOINHAS","BA"),
(-17.51,-39.19,"ALCOBACA","BA"),
(-14.7,-39.63,"ALMADINA","BA"),
(-13.03,-39.6,"AMARGOSA","BA"),
(-12.39,-38.75,"AMELIA RODRIGUES","BA"),
(-11.45,-41.43,"AMERICA DOURADA","BA"),
(-14.61,-41.13,"ANAGE","BA"),
(-12.8,-41.33,"ANDARAI","BA"),
(-10.34,-39.83,"ANDORINHA","BA"),
(-12,-44.69,"ANGICAL","BA"),
(-12.15,-39.24,"ANGUERA","BA"),
(-10.4,-38.33,"ANTAS","BA"),
(-12.43,-39.12,"ANTONIO CARDOSO","BA"),
(-10.57,-40.27,"ANTONIO GONCALVES","BA"),
(-11.66,-38.08,"APORA","BA"),
(-13.85,-39.74,"APUAREMA","BA"),
(-12.22,-38.2,"ARACAS","BA"),
(-14.42,-41.46,"ARACATU","BA"),
(-11.33,-38.96,"ARACI","BA"),
(-12.08,-38.49,"ARAMARI","BA"),
(-15.26,-39.41,"ARATACA","BA"),
(-13.07,-39,"ARATUIPE","BA"),
(-14.31,-39.32,"AURELINO LEAL","BA"),
(-12.3,-44.53,"BAIANOPOLIS","BA"),
(-11.96,-40.16,"BAIXA GRANDE","BA"),
(-10.57,-38.61,"BANZAE","BA"),
(-11.08,-43.14,"BARRA","BA"),
(-13.62,-41.32,"BARRA DA ESTIVA","BA"),
(-14.88,-40.57,"BARRA DO CHOCA","BA"),
(-11.81,-42.05,"BARRA DO MENDES","BA"),
(-14.21,-39.6,"BARRA DO ROCHA","BA"),
(-12.15,-44.99,"BARREIRAS","BA"),
(-11.76,-41.91,"BARRO ALTO","BA"),
(-14.81,-39.47,"BARRO PRETO","BA"),
(-15.86,-38.88,"BELMONTE","BA"),
(-15.03,-41.26,"BELO CAMPO","BA"),
(-11.61,-38.8,"BIRITINGA","BA"),
(-14.36,-40.2,"BOA NOVA","BA"),
(-12.66,-40.6,"BOA VISTA DO TUPIM","BA"),
(-13.25,-43.41,"BOM JESUS DA LAPA","BA"),
(-14.37,-40.5,"BOM JESUS DA SERRA","BA"),
(-12.7,-41.82,"BONINAL","BA"),
(-11.96,-41.26,"BONITO","BA"),
(-12.82,-42.73,"BOQUIRA","BA"),
(-13.38,-42.52,"BOTUPORA","BA"),
(-13.1,-39.79,"BREJOES","BA"),
(-12.48,-43.96,"BREJOLANDIA","BA"),
(-11.99,-42.62,"BROTAS DE MACAUBAS","BA"),
(-14.2,-41.66,"BRUMADO","BA"),
(-14.95,-39.3,"BUERAREMA","BA"),
(-10.7,-43.63,"BURITIRAMA","BA"),
(-14.97,-40.4,"CAATIBA","BA"),
(-12.53,-39.19,"CABACEIRAS DO PARAGUACU","BA"),
(-12.61,-38.95,"CACHOEIRA","BA"),
(-14.5,-42.22,"CACULE","BA"),
(-11.09,-40.43,"CAEM","BA"),
(-14.33,-40.91,"CAETANOS","BA"),
(-14.06,-42.47,"CAETITE","BA"),
(-11.69,-41.46,"CAFARNAUM","BA"),
(-13.48,-39.04,"CAIRU","BA"),
(-11.02,-40.3,"CALDEIRAO GRANDE","BA"),
(-15.41,-39.49,"CAMACAN","BA"),
(-12.69,-38.32,"CAMACARI","BA"),
(-13.94,-39.1,"CAMAMU","BA"),
(-9.51,-43.01,"CAMPO ALEGRE DE LOURDES","BA"),
(-10.5,-40.32,"CAMPO FORMOSO","BA"),
(-13.07,-44.2,"CANAPOLIS","BA"),
(-11.68,-41.76,"CANARANA","BA"),
(-15.67,-38.94,"CANAVIEIRAS","BA"),
(-11.8,-39.11,"CANDEAL","BA"),
(-12.66,-38.55,"CANDEIAS","BA"),
(-14.41,-42.86,"CANDIBA","BA"),
(-15.5,-41.23,"CANDIDO SALES","BA"),
(-10.67,-39.49,"CANSANCAO","BA"),
(-9.9,-39.13,"CANUDOS","BA"),
(-11.66,-39.83,"CAPELA DO ALTO ALEGRE","BA"),
(-11.38,-40.01,"CAPIM GROSSO","BA"),
(-14.6,-41.33,"CARAIBAS","BA"),
(-17.73,-39.26,"CARAVELAS","BA"),
(-11.94,-37.94,"CARDEAL DA SILVA","BA"),
(-14.3,-43.76,"CARINHANHA","BA"),
(-9.16,-40.97,"CASA NOVA","BA"),
(-12.76,-39.42,"CASTRO ALVES","BA"),
(-12.31,-44.86,"CATOLANDIA","BA"),
(-12.35,-38.37,"CATU","BA"),
(-13.32,-42.29,"CATURAMA","BA"),
(-11.13,-42.11,"CENTRAL","BA"),
(-8.98,-39.09,"CHORROCHO","BA"),
(-10.6,-38.38,"CICERO DANTAS","BA"),
(-11.1,-38.51,"CIPO","BA"),
(-14.64,-39.55,"COARACI","BA"),
(-14.18,-44.53,"COCOS","BA"),
(-12.5,-38.99,"CONCEICAO DA FEIRA","BA"),
(-12.8,-39.16,"CONCEICAO DO ALMEIDA","BA"),
(-11.56,-39.28,"CONCEICAO DO COITE","BA"),
(-12.42,-38.72,"CONCEICAO DO JACUIPE","BA"),
(-11.81,-37.61,"CONDE","BA"),
(-14.89,-41.96,"CONDEUBA","BA"),
(-13.76,-41.04,"CONTENDAS DO SINCORA","BA"),
(-12.23,-38.75,"CORACAO DE MARIA","BA"),
(-15.03,-41.93,"CORDEIROS","BA"),
(-13.82,-44.45,"CORIBE","BA"),
(-10.28,-37.92,"CORONEL JOAO SA","BA"),
(-13.34,-44.63,"CORRENTINA","BA"),
(-12.02,-44.25,"COTEGIPE","BA"),
(-13.35,-39.81,"CRAVOLANDIA","BA"),
(-11.51,-38.15,"CRISOPOLIS","BA"),
(-12.23,-44.42,"CRISTOPOLIS","BA"),
(-12.67,-39.1,"CRUZ DAS ALMAS","BA"),
(-8.99,-39.9,"CURACA","BA"),
(-14.43,-39.9,"DARIO MEIRA","BA"),
(-12.61,-38.29,"DIAS DAVILA","BA"),
(-13.76,-41.77,"DOM BASILIO","BA"),
(-12.9,-39.19,"DOM MACEDO COSTA","BA"),
(-12.94,-39.52,"ELISIO MEDRADO","BA"),
(-15.53,-40.9,"ENCRUZILHADA","BA"),
(-11.94,-38.08,"ENTRE RIOS","BA"),
(-13.41,-42.14,"ERICO CARDOSO","BA"),
(-11.79,-37.94,"ESPLANADA","BA"),
(-10.5,-39.01,"EUCLIDES DA CUNHA","BA"),
(-16.37,-39.58,"EUNAPOLIS","BA"),
(-10.6,-38.21,"FATIMA","BA"),
(-14.2,-44.28,"FEIRA DA MATA","BA"),
(-12.26,-38.96,"FEIRA DE SANTANA","BA"),
(-10.74,-40.13,"FILADELFIA","BA"),
(-14.98,-39.92,"FIRMINO ALVES","BA"),
(-14.86,-39.66,"FLORESTA AZUL","BA"),
(-11.04,-45.19,"FORMOSA DO RIO PRETO","BA"),
(-13.74,-39.48,"GANDU","BA"),
(-11.47,-39.78,"GAVIAO","BA"),
(-11.42,-42.5,"GENTIO DO OURO","BA"),
(-9.33,-38.25,"GLORIA","BA"),
(-14.32,-39.46,"GONGOGI","BA"),
(-12.6,-39.04,"GOVERNADOR MANGABEIRA","BA"),
(-14.54,-41.94,"GUAJERU","BA"),
(-14.22,-42.78,"GUANAMBI","BA"),
(-16.58,-39.78,"GUARATINGA","BA"),
(-10.68,-38.28,"HELIOPOLIS","BA"),
(-12.76,-40.21,"IACU","BA"),
(-14.25,-42.25,"IBIASSUCE","BA"),
(-14.86,-39.58,"IBICARAI","BA"),
(-13.41,-41.28,"IBICOARA","BA"),
(-14.84,-39.98,"IBICUI","BA"),
(-11.64,-42.01,"IBIPEBA","BA"),
(-12.88,-42.48,"IBIPITANGA","BA"),
(-12.65,-40.93,"IBIQUERA","BA"),
(-14.16,-39.37,"IBIRAPITANGA","BA"),
(-17.68,-40.1,"IBIRAPUA","BA"),
(-14.06,-39.64,"IBIRATAIA","BA"),
(-12.65,-42.21,"IBITIARA","BA"),
(-11.54,-41.97,"IBITITA","BA"),
(-12.18,-43.22,"IBOTIRAMA","BA"),
(-11.74,-39.19,"ICHU","BA"),
(-13.77,-42.71,"IGAPORA","BA"),
(-13.82,-39.14,"IGRAPIUNA","BA"),
(-14.75,-40.08,"IGUAI","BA"),
(-14.78,-39.04,"ILHEUS","BA"),
(-11.78,-38.35,"INHAMBUPE","BA"),
(-12.3,-39.3,"IPECAETA","BA"),
(-14.13,-39.73,"IPIAU","BA"),
(-12.15,-39.73,"IPIRA","BA"),
(-11.82,-42.61,"IPUPIARA","BA"),
(-13.25,-40.08,"IRAJUBA","BA"),
(-13.28,-40.95,"IRAMAIA","BA"),
(-12.24,-41.61,"IRAQUARA","BA"),
(-12.05,-38.76,"IRARA","BA"),
(-11.3,-41.85,"IRECE","BA"),
(-16.57,-39.55,"ITABELA","BA"),
(-12.52,-40.3,"ITABERABA","BA"),
(-14.78,-39.28,"ITABUNA","BA"),
(-14.27,-38.99,"ITACARE","BA"),
(-12.98,-40.97,"ITAETE","BA"),
(-14.16,-40,"ITAGI","BA"),
(-14.28,-39.84,"ITAGIBA","BA"),
(-16.08,-39.61,"ITAGIMIRIM","BA"),
(-11.01,-42.39,"ITAGUACU DA BAHIA","BA"),
(-15.14,-39.72,"ITAJU DO COLONIA","BA"),
(-14.67,-39.37,"ITAJUIPE","BA"),
(-17.03,-39.53,"ITAMARAJU","BA"),
(-13.77,-39.68,"ITAMARI","BA"),
(-15.24,-40.62,"ITAMBE","BA"),
(-12.26,-38.04,"ITANAGRA","BA"),
(-17.16,-40.33,"ITANHEM","BA"),
(-12.88,-38.67,"ITAPARICA","BA"),
(-14.89,-39.42,"ITAPE","BA"),
(-15.95,-39.53,"ITAPEBI","BA"),
(-15.24,-40.24,"ITAPETINGA","BA"),
(-11.31,-38.23,"ITAPICURU","BA"),
(-14.42,-39.56,"ITAPITANGA","BA"),
(-13.45,-39.94,"ITAQUARA","BA"),
(-15.66,-40.06,"ITARANTIM","BA"),
(-12.71,-39.69,"ITATIM","BA"),
(-13.53,-40.15,"ITIRUCU","BA"),
(-10.69,-39.85,"ITIUBA","BA"),
(-15.11,-40.07,"ITORORO","BA"),
(-13.81,-41.29,"ITUACU","BA"),
(-13.73,-39.14,"ITUBERA","BA"),
(-14.41,-43.55,"IUIU","BA"),
(-13.61,-44.43,"JABORANDI","BA"),
(-14.85,-42.43,"JACARACI","BA"),
(-11.18,-40.51,"JACOBINA","BA"),
(-13.53,-39.97,"JAGUAQUARA","BA"),
(-10.26,-40.19,"JAGUARARI","BA"),
(-13.11,-38.89,"JAGUARIPE","BA"),
(-11.56,-37.78,"JANDAIRA","BA"),
(-13.85,-40.08,"JEQUIE","BA"),
(-10.06,-38.35,"JEREMOABO","BA"),
(-13.25,-39.57,"JIQUIRICA","BA"),
(-14.01,-39.88,"JITAUNA","BA"),
(-11.35,-41.66,"JOAO DOURADO","BA"),
(-9.41,-40.5,"JUAZEIRO","BA"),
(-16.84,-40.15,"JUCURUCU","BA"),
(-11.04,-41.96,"JUSSARA","BA"),
(-15.19,-39.49,"JUSSARI","BA"),
(-13.51,-41.59,"JUSSIAPE","BA"),
(-13.65,-40.21,"LAFAIETE COUTINHO","BA"),
(-14.03,-42.14,"LAGOA REAL","BA"),
(-13.18,-39.42,"LAJE","BA"),
(-17.61,-40.34,"LAJEDAO","BA"),
(-12.35,-40.9,"LAJEDINHO","BA"),
(-13.47,-40.22,"LAJEDO DO TABOCAL","BA"),
(-11.78,-38.9,"LAMARAO","BA"),
(-11.38,-41.83,"LAPAO","BA"),
(-12.89,-38.32,"LAURO DE FREITAS","BA"),
(-12.56,-41.39,"LENCOIS","BA"),
(-14.68,-42.5,"LICINIO DE ALMEIDA","BA"),
(-13.64,-41.84,"LIVRAMENTO DO BRUMADO","BA"),
(-12.13,-40.36,"MACAJUBA","BA"),
(-15.56,-40.42,"MACARANI","BA"),
(-13.01,-42.69,"MACAUBAS","BA"),
(-9.16,-39.05,"MACURURE","BA"),
(-12.74,-38.62,"MADRE DE DEUS","BA"),
(-14.66,-41.49,"MAETINGA","BA"),
(-15.62,-40.26,"MAIQUINIQUE","BA"),
(-11.71,-40.14,"MAIRI","BA"),
(-14.33,-43.77,"MALHADA","BA"),
(-14.38,-41.87,"MALHADA DE PEDRAS","BA"),
(-14.14,-40.24,"MANOEL VITORINO","BA"),
(-10.71,-44.03,"MANSIDAO","BA"),
(-13.44,-40.43,"MARACAS","BA"),
(-12.77,-38.91,"MARAGOGIPE","BA"),
(-14.1,-39.01,"MARAU","BA"),
(-13,-40.53,"MARCIONILIO SOUZA","BA"),
(-15.56,-39.3,"MASCOTE","BA"),
(-12.53,-38.29,"MATA DE SAO JOAO","BA"),
(-13.9,-42.84,"MATINA","BA"),
(-17.37,-40.22,"MEDEIROS NETO","BA"),
(-11.42,-40.59,"MIGUEL CALMON","BA"),
(-12.87,-39.85,"MILAGRES","BA"),
(-10.95,-40.57,"MIRANGABA","BA"),
(-14.24,-40.77,"MIRANTE","BA"),
(-10.43,-39.33,"MONTE SANTO","BA"),
(-11.55,-43.28,"MORPARA","BA"),
(-11.55,-41.15,"MORRO DO CHAPEU","BA"),
(-15.02,-42.36,"MORTUGABA","BA"),
(-13,-41.37,"MUCUGE","BA"),
(-18.08,-39.55,"MUCURI","BA"),
(-11.96,-41.63,"MULUNGU DO MORRO","BA"),
(-11.85,-40.47,"MUNDO NOVO","BA"),
(-13,-39.11,"MUNIZ FERREIRA","BA"),
(-12.06,-43.54,"MUQUEM DE SAO FRANCISCO","BA"),
(-12.62,-38.99,"MURITIBA","BA"),
(-13.22,-39.5,"MUTUIPE","BA"),
(-13.03,-39.01,"NAZARE","BA"),
(-13.59,-39.1,"NILO PECANHA","BA"),
(-10.82,-39.42,"NORDESTINA","BA"),
(-14.79,-40.14,"NOVA CANAA","BA"),
(-11.6,-39.63,"NOVA FATIMA","BA"),
(-13.81,-39.62,"NOVA IBIA","BA"),
(-13.02,-40.06,"NOVA ITARANA","BA"),
(-12.81,-41.07,"NOVA REDENCAO","BA"),
(-11.23,-38.48,"NOVA SOURE","BA"),
(-17.89,-39.37,"NOVA VICOSA","BA"),
(-12.8,-42.16,"NOVO HORIZONTE","BA"),
(-10.31,-38.4,"NOVO TRIUNFO","BA"),
(-11.36,-38.33,"OLINDINA","BA"),
(-12.31,-42.89,"OLIVEIRA DOS BREJINHOS","BA"),
(-12.01,-38.61,"OURICANGAS","BA"),
(-10.97,-41.08,"OUROLANDIA","BA"),
(-14.26,-43.16,"PALMAS DE MONTE ALTO","BA"),
(-12.52,-41.55,"PALMEIRAS","BA"),
(-13.44,-42.23,"PARAMIRIM","BA"),
(-12.69,-43.18,"PARATINGA","BA"),
(-10.68,-37.86,"PARIPIRANGA","BA"),
(-15.46,-39.65,"PAU BRASIL","BA"),
(-9.4,-38.22,"PAULO AFONSO","BA"),
(-11.83,-39.61,"PE DE SERRA","BA"),
(-12.15,-38.65,"PEDRAO","BA"),
(-10.01,-37.89,"PEDRO ALEXANDRE","BA"),
(-13.15,-41.77,"PIATA","BA"),
(-10,-42.5,"PILAO ARCADO","BA"),
(-14.49,-42.68,"PINDAI","BA"),
(-10.74,-40.36,"PINDOBACU","BA"),
(-11.81,-39.9,"PINTADAS","BA"),
(-13.76,-39.37,"PIRAI DO NORTE","BA"),
(-14.94,-41.72,"PIRIPA","BA"),
(-11.73,-40.55,"PIRITIBA","BA"),
(-13.25,-40.36,"PLANALTINO","BA"),
(-14.67,-40.47,"PLANALTO","BA"),
(-14.53,-40.36,"POCOES","BA"),
(-12.43,-38.32,"POJUCA","BA"),
(-10.86,-40.13,"PONTO NOVO","BA"),
(-16.45,-39.06,"PORTO SEGURO","BA"),
(-15.59,-39.87,"POTIRAGUA","BA"),
(-17.34,-39.22,"PRADO","BA"),
(-11.29,-41.98,"PRESIDENTE DUTRA","BA"),
(-14.68,-41.67,"PRESIDENTE JANIO QUADROS","BA"),
(-13.44,-39.42,"PRESIDENTE TANCREDO NEVES","BA"),
(-10.97,-39.62,"QUEIMADAS","BA"),
(-10.75,-39.21,"QUIJINGUE","BA"),
(-11.41,-40.12,"QUIXABEIRA","BA"),
(-12.4,-39.5,"RAFAEL JAMBEIRO","BA"),
(-9.62,-42.08,"REMANSO","BA"),
(-11.49,-39.42,"RETIROLANDIA","BA"),
(-11.74,-44.91,"RIACHAO DAS NEVES","BA"),
(-11.81,-39.38,"RIACHAO DO JACUIPE","BA"),
(-13.6,-42.93,"RIACHO DE SANTANA","BA"),
(-11.04,-38.43,"RIBEIRA DO AMPARO","BA"),
(-10.83,-38.53,"RIBEIRA DO POMBAL","BA"),
(-15.45,-40.73,"RIBEIRAO DO LARGO","BA"),
(-13.57,-41.81,"RIO DE CONTAS","BA"),
(-14.41,-42.07,"RIO DO ANTONIO","BA"),
(-13.12,-42.29,"RIO DO PIRES","BA"),
